IAN,IPV,IAA,IPS,IPP
10.0,7.75,8500020000000000.0,7.5,59375.0
10.0,8111113333333330.0,791667.0,7.5,8125.0
5.0,7.75,8000020000000000.0,6875.0,71875.0
10.0,8166665.0,750002.0,7.5,84375.0
10.0,7916665.0,8000020000000000.0,6875.0,84375.0
5.0,7.25,8500020000000000.0,7.5,8125.0
5.0,7.75,9500020000000000.0,7.5,65625.0
5.0,7944446666666660.0,958335.0,7.5,7083333333333330.0
10.0,6277773333333330.0,666667.0,7.5,7083333333333330.0
5.0,7944443333333330.0,8500020000000000.0,6875.0,8125.0
5.0,829167.0,875001.0,6.25,765625.0
5.0,7.75,8000020000000000.0,7.5,7.5
10.0,804167.0,7.5,7.5,796875.0
10.0,7916665.0,9000020000000000.0,7.5,6.25
5.0,7.75,8500020000000000.0,7.5,78125.0
10.0,7583335.0,9500020000000000.0,7.5,7.5
10.0,7416665.0,9500020000000000.0,7.5,8125.0
10.0,75833325.0,833334.0,6.25,7.5
10.0,6444439999999990.0,875001.0,7.5,7291666666666660.0
5.0,8124995.0,7.5,6875.0,84375.0
5.0,7333333333333330.0,9000020000000000.0,7.5,6875.0
5.0,8.0,9000020000000000.0,7.5,71875.0
10.0,658333.0,891668.0,10.0,7.5
5.0,7666665.0,9500020000000000.0,7.5,71875.0
5.0,911112.0,541667.0,7.5,8125.0
5.0,7333335.0,8500020000000000.0,7.5,6875.0
10.0,6999995.0,9000020000000000.0,10.0,7.5
5.0,57083325.0,833334.0,7.5,7.5
5.0,75000025.0,833334.0,7.5,796875.0
10.0,758333.0,9000020000000000.0,6875.0,5625.0
10.0,75000025.0,708333.0,7.5,796875.0
5.0,6791665.0,958335.0,7.5,796875.0
5.0,7.75,9500020000000000.0,7.5,84375.0
5.0,7916665.0,9000020000000000.0,4375.0,6875.0
10.0,7833333333333330.0,8000020000000000.0,7.5,7.5
10.0,7333335.0,9000020000000000.0,7.5,78125.0
10.0,766667.0,916668.0,7.5,796875.0
5.0,7.5,9500020000000000.0,7.5,7.5
5.0,78750025.0,791667.0,7.5,796875.0
5.0,7611103333333330.0,791667.0,4375.0,7708333333333330.0
5.0,7916665.0,8500020000000000.0,7.5,7.5
5.0,5111106666666660.0,916668.0,6875.0,7916666666666660.0
